ID	Gene EFW ID	Gene	contig	start	stop
gene	EFW9900021630	Similar to FACT: Fatty alcohol:caffeoyl-CoA acyltransferase (Arabidopsis thaliana OX%3D3702)	contig1	42751	49244
gene	EFW9900021631	Protein of unknown function	contig1	55345	56304
gene	EFW9900021632	Similar to NTF3: Mitogen-activated protein kinase homolog NTF3 (Nicotiana tabacum OX%3D4097)	contig1	63415	66962
gene	EFW9900021633	Similar to BZIP11: bZIP transcription factor 11 (Arabidopsis thaliana OX%3D3702)	contig1	71955	72485
gene	EFW9900021634	Similar to TMEM136: Transmembrane protein 136 (Bos taurus OX%3D9913)	contig1	112320	119791
gene	EFW9900021635	Similar to RPT4B: 26S proteasome regulatory subunit S10B homolog B (Arabidopsis thaliana OX%3D3702)	contig1	119684	123137
gene	EFW9900021636	Similar to At1g20180: UPF0496 protein At1g20180 (Arabidopsis thaliana OX%3D3702)	contig1	139271	140690
gene	EFW9900021637	Similar to bshA: N-acetyl-alpha-D-glucosaminyl L-malate synthase (Bacillus anthracis OX%3D1392)	contig1	148838	153034
gene	EFW9900021638	Similar to PER9: Peroxidase 9 (Arabidopsis thaliana OX%3D3702)	contig1	153796	155400
gene	EFW9900021639	Similar to hflX: GTPase HflX (Escherichia coli (strain K12) OX%3D83333)	contig1	159322	165185
gene	EFW9900021640	Similar to BLH11: BEL1-like homeodomain protein 11 (Arabidopsis thaliana OX%3D3702)	contig1	183923	192793
gene	EFW9900021641	Similar to CKX5: Cytokinin dehydrogenase 5 (Arabidopsis thaliana OX%3D3702)	contig1	210457	216083
gene	EFW9900021642	Similar to DYW7: Pentatricopeptide repeat-containing protein At1g19720 (Arabidopsis thaliana OX%3D3702)	contig1	238030	252910
gene	EFW9900021643	Similar to BGAL3: Beta-galactosidase 3 (Arabidopsis thaliana OX%3D3702)	contig1	264084	269539
gene	EFW9900021644	Protein of unknown function	contig1	273488	274278
gene	EFW9900021645	Similar to RD21C: Probable cysteine protease RD21C (Arabidopsis thaliana OX%3D3702)	contig1	274911	278367
gene	EFW9900021646	Similar to Os03g0799700: Probable GTP-binding protein OBGC2 (Oryza sativa subsp. japonica OX%3D39947)	contig1	288446	308346
gene	EFW9900021647	Protein of unknown function	contig1	290823	296007
gene	EFW9900021648	Similar to DREB2D: Dehydration-responsive element-binding protein 2D (Arabidopsis thaliana OX%3D3702)	contig1	314412	314633
gene	EFW9900021649	Similar to DREB2D: Dehydration-responsive element-binding protein 2D (Arabidopsis thaliana OX%3D3702)	contig1	314640	315229
gene	EFW9900021650	Similar to PAP2: Purple acid phosphatase 2 (Ipomoea batatas OX%3D4120)	contig1	315986	319053
gene	EFW9900021651	Similar to PAP2: Purple acid phosphatase 2 (Ipomoea batatas OX%3D4120)	contig1	330414	333415
gene	EFW9900021652	Similar to NPF8.1: Protein NRT1/ PTR FAMILY 8.1 (Arabidopsis thaliana OX%3D3702)	contig1	336655	340755
gene	EFW9900021653	Similar to WAT1: Protein WALLS ARE THIN 1 (Arabidopsis thaliana OX%3D3702)	contig1	351529	355036
gene	EFW9900021654	Similar to RD19A: Cysteine protease RD19A (Arabidopsis thaliana OX%3D3702)	contig1	391098	393643
gene	EFW9900021655	Similar to SRS5: Protein SHI RELATED SEQUENCE 5 (Arabidopsis thaliana OX%3D3702)	contig1	414715	417250
gene	EFW9900021656	Similar to At2g21390: Coatomer subunit alpha-2 (Arabidopsis thaliana OX%3D3702)	contig1	425825	427168
gene	EFW9900021657	Similar to Os03g0711400: Coatomer subunit alpha-1 (Oryza sativa subsp. japonica OX%3D39947)	contig1	427228	430552
gene	EFW9900021658	Similar to SLAH1: S-type anion channel SLAH1 (Arabidopsis thaliana OX%3D3702)	contig1	443019	445034
gene	EFW9900021659	Protein of unknown function	contig1	445339	454935
gene	EFW9900021660	Similar to Mcrs1: Microspherule protein 1 (Mus musculus OX%3D10090)	contig1	472698	479447
gene	EFW9900021661	Similar to BBX21: B-box zinc finger protein 21 (Arabidopsis thaliana OX%3D3702)	contig1	505352	506853
gene	EFW9900021662	Similar to SH3P2: SH3 domain-containing protein 2 (Arabidopsis thaliana OX%3D3702)	contig1	515386	518776
gene	EFW9900021663	Protein of unknown function	contig1	532586	533188
gene	EFW9900021664	Similar to At1g05150: Uncharacterized TPR repeat-containing protein At1g05150 (Arabidopsis thaliana OX%3D3702)	contig1	542642	545300
gene	EFW9900021665	Similar to At4g36180: Probable LRR receptor-like serine/threonine-protein kinase At4g36180 (Arabidopsis thaliana OX%3D3702)	contig1	566389	569805
gene	EFW9900021666	Similar to CVA16-2: V-type proton ATPase 16 kDa proteolipid subunit (Gossypium hirsutum OX%3D3635)	contig1	582930	584983
gene	EFW9900021667	Similar to LDL3: Lysine-specific histone demethylase 1 homolog 3 (Arabidopsis thaliana OX%3D3702)	contig1	587054	596844
gene	EFW9900021668	Protein of unknown function	contig1	607976	611397
gene	EFW9900021669	Protein of unknown function	contig1	611432	612466
gene	EFW9900021670	Similar to GLOX: Aldehyde oxidase GLOX (Vitis pseudoreticulata OX%3D231512)	contig1	627734	629326
gene	EFW9900021671	Similar to GLOX: Aldehyde oxidase GLOX (Vitis pseudoreticulata OX%3D231512)	contig1	663806	665410
gene	EFW9900021672	Similar to GLOX1: Aldehyde oxidase GLOX1 (Arabidopsis thaliana OX%3D3702)	contig1	686041	688240
gene	EFW9900021673	Similar to Histone H3.3 (Vitis vinifera OX%3D29760)	contig1	694480	699262
gene	EFW9900021674	Similar to ATL9: E3 ubiquitin-protein ligase ATL9 (Arabidopsis thaliana OX%3D3702)	contig1	699750	700541
gene	EFW9900021675	Similar to Histone H3.3 (Vitis vinifera OX%3D29760)	contig1	703826	705804
gene	EFW9900021676	Protein of unknown function	contig1	708129	711106
gene	EFW9900021677	Similar to BPC6: Protein BASIC PENTACYSTEINE6 (Arabidopsis thaliana OX%3D3702)	contig1	718267	721590
gene	EFW9900021678	Similar to RF2b: Transcription factor RF2b (Oryza sativa subsp. japonica OX%3D39947)	contig1	728287	731712
gene	EFW9900021679	Similar to Rcc2: Protein RCC2 (Mus musculus OX%3D10090)	contig1	743305	748850
gene	EFW9900021680	Similar to IQD32: Protein IQ-DOMAIN 32 (Arabidopsis thaliana OX%3D3702)	contig1	766809	772023
